Date,sp500_ret,sp500_vol,trend,vix_ret,vix_level,hmm_state,regime_label
2000-03-31,-0.8189559176071932,1.2507514603798788,0.3250130028195424,0.2409240374206456,0.4340023157907387,0,Bull / Expansion
2000-04-07,0.4320170219505196,1.240968239750895,0.2660287185692902,0.0838461913262873,0.4873258229802006,0,Bull / Expansion
2000-04-14,-4.5571510214282585,2.250513593330795,-0.9772966713933128,2.245841021988334,0.6301607082338749,0,Bull / Expansion
2000-04-21,2.218913159877601,2.2380518380298016,0.513342142456521,-1.830164222653613,0.6268914131611226,0,Bull / Expansion
2000-04-28,0.4565545909517329,2.104457918819531,0.0717740094392005,0.0973077733911268,0.679425780902073,0,Bull / Expansion
2000-05-05,-0.6017075426398476,2.0605108430151526,0.2389822728315229,0.3525354001305576,0.7144862789897546,0,Bull / Expansion
2000-05-12,-0.376972555734549,1.9826579550030488,0.5249489859187715,-0.3888848411961176,0.7150499438808521,0,Bull / Expansion
2000-05-19,-0.4470327474468618,1.983573196208722,0.5196284751090353,-0.1655319685003425,0.717755574062507,0,Bull / Expansion
2000-05-26,-0.8873570543676885,1.7858952352418591,-0.4761915536335275,-0.2729493210049007,0.7770540280088137,0,Bull / Expansion
2000-06-02,2.771917050737125,2.1446923593305693,0.5657354478641875,-0.9200794927237074,0.7797596581904687,0,Bull / Expansion
2000-06-09,-0.6064769361912552,1.9979375340849892,-0.2509795013330628,0.2162941025284723,0.777166743785083,0,Bull / Expansion
2000-06-16,0.162719250255177,1.8453536861179956,-0.7349326415176629,-0.5424570352565695,0.745488299551298,0,Bull / Expansion
2000-06-23,-0.6863875635499848,1.8377609240999069,-0.692101928747947,0.6103736773284336,0.725534252771351,0,Bull / Expansion
2000-06-30,0.3215081205426595,1.831556041705091,-0.7278055855396302,-0.94547982123956,0.6708579412422806,0,Bull / Expansion
2000-07-07,0.6256610109625669,0.5672845362663591,0.9466780050385896,-0.1147055402547929,0.5099854999418025,0,Bull / Expansion
2000-07-14,0.7970479611283736,0.2540594849272531,0.4872961234576904,0.0388621422567851,0.4363697341362728,0,Bull / Expansion
2000-07-21,-0.8528973348428396,0.3168685376290169,0.0642331706261576,-0.138427839605411,0.3545243405070714,0,Bull / Expansion
2000-07-28,-1.7306673186461734,0.5297325878743868,-0.3005156582973958,0.6786186386607085,0.279104821247105,0,Bull / Expansion
2000-08-04,1.1642842360495025,0.6263839139919762,0.1974397355275085,-0.7949165203346997,0.1953429583871977,0,Bull / Expansion
2000-08-11,0.2004235483883858,0.6063731449993288,0.406622498903274,-0.0245130703675763,0.117668736557967,2,Sideways / Low Vol
2000-08-18,0.4979904719864126,0.5290460847322275,0.8542061051831213,-0.5945283328447966,0.034019589474329,2,Sideways / Low Vol
2000-08-25,0.3525218693128922,-0.1120056996920822,0.0725382567062661,-0.2170346930337781,-0.0217840733393737,2,Sideways / Low Vol
2000-09-01,0.337728887608096,-0.1528025582732101,0.377596041592025,0.4177778034423151,-0.0737547546867896,2,Sideways / Low Vol
2000-09-08,-0.7515729253191663,-0.0811658088522317,0.0822028775287192,0.3679300978123561,-0.0967526434845124,2,Sideways / Low Vol
2000-09-15,-0.8309256712510183,-0.0571580304089583,0.035504928993055,0.0251032417852046,-0.1398172948384516,2,Sideways / Low Vol
2000-09-22,-0.5207376568015007,-0.0436991129958535,-0.2366111972686206,0.8032660039909014,-0.126289143930177,2,Sideways / Low Vol
2000-09-29,-0.388502173504478,-0.0914570984830452,-0.5642710853651683,-0.0561010912592371,-0.1110699553437356,2,Sideways / Low Vol
2000-10-06,-0.8292956012892669,-0.1619219287399007,-1.0897166525382105,0.7024905824018065,-0.0728528994620083,2,Sideways / Low Vol
2000-10-13,-1.0594134498883303,-0.1309487085281657,-1.156438702975783,1.3820877815358548,0.0247753476447319,2,Sideways / Low Vol
2000-10-20,0.6199650503847108,-0.3295137470803258,-0.3969870182870549,-0.9164425263697902,0.0631051408051659,2,Sideways / Low Vol
2000-10-27,-0.5519465195120541,-0.5552627295910375,-0.95147369846631,0.6249078083891773,0.1516018618585788,2,Sideways / Low Vol
2000-11-03,1.314842553187446,-0.2691962587701877,-0.5914227599213292,-0.7890124752145805,0.2093220369078625,2,Sideways / Low Vol
2000-11-10,-1.807400687033076,-0.0560164360108225,-1.3362577339694748,1.3236185921142505,0.3387414870295325,2,Sideways / Low Vol
2000-11-17,0.0059898920530443,-0.0959999702999423,-1.4482166678273494,-0.986481920499729,0.4320858035551578,2,Sideways / Low Vol
2000-11-24,-0.821678974684128,-0.1415629132482464,-1.822802785954449,0.3336619692318715,0.5275720853713406,2,Sideways / Low Vol
2000-12-01,-0.8550097151285426,-0.133929399802463,-1.8562215567135325,0.3938962831454262,0.6292587885017822,2,Sideways / Low Vol
2000-12-08,1.6041619983902893,0.236989745438742,-1.0694837165312836,-1.4410742096733662,0.673112579304233,0,Bull / Expansion
2000-12-15,-1.790323154355539,0.4193147247707532,-1.479666464661867,1.2017274708725845,0.7386114330623605,0,Bull / Expansion
2000-12-22,-0.2374807207802005,0.4208339963211503,-1.43087385114788,0.2637698001000131,0.8173002473950793,0,Bull / Expansion
2000-12-29,0.3965658663648606,0.4410538046589448,-1.03481763705399,-0.1799795502437379,0.8639724271603292,0,Bull / Expansion
2001-01-05,-0.724206842893675,0.4054570803386649,-0.9265177490090384,0.4662408188368782,0.876035036450288,0,Bull / Expansion
2001-01-12,0.5799118367925093,0.3998347047558143,-0.9394583010666688,-1.09278728804347,0.8796425433591613,0,Bull / Expansion
